17:17:59 [Otomatik tablolar eklendi] Managed: 1 MB | Process: 158 MB
17:18:01 [Bölge 1 - Risk 27 (Risk 1) eklendi] Managed: 2 MB | Process: 225 MB
17:18:01 [Bölge 1 - Risk 28 (Risk 2) eklendi] Managed: 2 MB | Process: 225 MB
17:18:01 [Bölge 1 - Risk 29 (Risk 3) eklendi] Managed: 2 MB | Process: 199 MB
17:18:01 [Bölge 1 - Risk 30 (Risk 4) eklendi] Managed: 2 MB | Process: 199 MB
17:18:02 [Bölge 1 - Risk 31 (Risk 5) eklendi] Managed: 2 MB | Process: 174 MB
17:18:02 [Bölge 1 - Risk 32 (Risk 6) eklendi] Managed: 2 MB | Process: 172 MB
17:18:02 [Bölge 1 - Risk 33 (Risk 7) eklendi] Managed: 2 MB | Process: 178 MB
17:18:02 [Bölge 1 - Risk 34 (Risk 8) eklendi] Managed: 2 MB | Process: 178 MB
17:18:02 [Bölge 1 - Risk 35 (Risk 9) eklendi] Managed: 2 MB | Process: 178 MB
17:18:02 [Bölge 1 - Risk 36 (Risk 10) eklendi] Managed: 2 MB | Process: 178 MB
17:18:02 [Bölge 1 - Risk 37 (Risk 11) eklendi] Managed: 2 MB | Process: 178 MB
17:18:02 [Bölge 1 - Risk 38 (Risk 12) eklendi] Managed: 2 MB | Process: 178 MB
17:18:02 [AltChunk ile birleştirme başlıyor] Managed: 2 MB | Process: 178 MB
17:18:04 [AltChunk ile birleştirme bitti (Rapor tamamlandı)] Managed: 1 MB | Process: 300 MB
17:18:04 [Temp dosyalar silindi (İşlem bitti)] Managed: 1 MB | Process: 300 MB
17:23:13 [Başlangıç] Managed: 1 MB | Process: 325 MB
17:23:14 [Kapak hazırlandı] Managed: 1 MB | Process: 299 MB
17:23:14 [Revizyon Tablosu hazırlandı] Managed: 1 MB | Process: 299 MB
17:23:14 [İncelenen Dökümanlar hazırlandı] Managed: 1 MB | Process: 299 MB
17:23:14 [Header/Footer hazırlandı] Managed: 2 MB | Process: 299 MB
